id_viaje,id_pasajero,id_unidad,costo_aplicado,fecha_hora,id_escuela
100821,1004,BUS-IPN-02,10.00,2026-03-19 07:03:33,NINGUNA
100437,1002,BUS-TEC-02,6.00,2026-03-19 07:22:46,TEC DE MONTERREY
100581,1003,BUS-IPN-02,5.50,2026-03-19 07:28:28,IPN
100353,1002,BUS-TEC-02,6.00,2026-03-19 07:33:01,TEC DE MONTERREY
101452,1004,BUS-TEC-01,10.00,2026-03-19 07:45:36,NINGUNA
100189,1002,BUS-TEC-02,6.00,2026-03-19 07:51:29,TEC DE MONTERREY
101159,1002,BUS-TEC-02,6.00,2026-03-19 08:09:21,TEC DE MONTERREY
100241,1001,BUS-BUAP-02,5.00,2026-03-19 08:19:00,BUAP
101314,1001,BUS-BUAP-02,5.00,2026-03-19 08:27:06,BUAP
100990,1002,BUS-TEC-01,6.00,2026-03-19 08:39:32,TEC DE MONTERREY
100358,1003,BUS-IPN-02,5.50,2026-03-19 08:45:29,IPN
101323,1001,BUS-BUAP-02,5.00,2026-03-19 08:55:51,BUAP
100573,1001,BUS-BUAP-02,5.00,2026-03-19 13:07:08,BUAP
101416,1003,BUS-IPN-01,5.50,2026-03-19 13:08:28,IPN
100340,1003,BUS-IPN-02,5.50,2026-03-19 13:29:22,IPN
100991,1002,BUS-TEC-01,6.00,2026-03-19 13:40:45,TEC DE MONTERREY
100595,1002,BUS-TEC-01,6.00,2026-03-19 13:45:10,TEC DE MONTERREY
101061,1002,BUS-TEC-01,6.00,2026-03-19 13:57:35,TEC DE MONTERREY
100398,1004,BUS-BUAP-01,10.00,2026-03-19 14:01:28,NINGUNA
100461,1004,BUS-IPN-01,10.00,2026-03-19 14:08:51,NINGUNA
101309,1003,BUS-IPN-01,5.50,2026-03-19 14:19:24,IPN
101411,1002,BUS-TEC-02,6.00,2026-03-19 14:29:53,TEC DE MONTERREY
101149,1001,BUS-BUAP-02,5.00,2026-03-19 14:34:55,BUAP
100805,1001,BUS-BUAP-02,5.00,2026-03-19 14:39:59,BUAP
100357,1001,BUS-BUAP-02,5.00,2026-03-19 14:45:43,BUAP
100304,1002,BUS-TEC-01,6.00,2026-03-19 19:15:32,TEC DE MONTERREY
100124,1004,BUS-TEC-02,10.00,2026-03-19 19:35:32,NINGUNA
100263,1002,BUS-TEC-02,6.00,2026-03-19 19:39:35,TEC DE MONTERREY
100602,1002,BUS-TEC-01,6.00,2026-03-20 07:12:50,TEC DE MONTERREY
101487,1002,BUS-TEC-01,6.00,2026-03-20 07:13:14,TEC DE MONTERREY
101209,1003,BUS-IPN-01,5.50,2026-03-20 07:20:25,IPN
100795,1003,BUS-IPN-01,5.50,2026-03-20 07:23:27,IPN
100728,1001,BUS-BUAP-01,5.00,2026-03-20 07:33:46,BUAP
100035,1004,BUS-TEC-01,10.00,2026-03-20 07:40:58,NINGUNA
100802,1003,BUS-IPN-01,5.50,2026-03-20 07:44:50,IPN
101464,1002,BUS-TEC-02,6.00,2026-03-20 07:48:50,TEC DE MONTERREY
101009,1003,BUS-IPN-01,5.50,2026-03-20 07:53:14,IPN
100867,1003,BUS-IPN-02,5.50,2026-03-20 07:54:09,IPN
100095,1001,BUS-BUAP-02,5.00,2026-03-20 07:54:47,BUAP
101227,1001,BUS-BUAP-01,5.00,2026-03-20 08:02:59,BUAP
101039,1003,BUS-IPN-01,5.50,2026-03-20 08:15:17,IPN
100546,1002,BUS-TEC-02,6.00,2026-03-20 08:37:42,TEC DE MONTERREY
100593,1003,BUS-IPN-02,5.50,2026-03-20 08:41:42,IPN
100578,1004,BUS-IPN-01,10.00,2026-03-20 08:50:12,NINGUNA
100811,1004,BUS-TEC-01,10.00,2026-03-20 08:58:42,NINGUNA
100362,1004,BUS-TEC-01,10.00,2026-03-20 13:01:07,NINGUNA
101485,1004,BUS-TEC-02,10.00,2026-03-20 13:25:50,NINGUNA
100826,1003,BUS-IPN-01,5.50,2026-03-20 13:32:48,IPN
101055,1002,BUS-TEC-01,6.00,2026-03-20 13:34:00,TEC DE MONTERREY
100028,1002,BUS-TEC-02,6.00,2026-03-20 13:37:32,TEC DE MONTERREY
101051,1004,BUS-IPN-01,10.00,2026-03-20 13:43:24,NINGUNA
101461,1002,BUS-TEC-01,6.00,2026-03-20 13:49:27,TEC DE MONTERREY
101220,1001,BUS-BUAP-02,5.00,2026-03-20 13:55:34,BUAP
100364,1002,BUS-TEC-01,6.00,2026-03-20 14:03:06,TEC DE MONTERREY
101070,1002,BUS-TEC-01,6.00,2026-03-20 14:12:45,TEC DE MONTERREY
100452,1002,BUS-TEC-01,6.00,2026-03-20 14:16:56,TEC DE MONTERREY
100052,1001,BUS-BUAP-02,5.00,2026-03-20 14:17:31,BUAP
100689,1004,BUS-IPN-02,10.00,2026-03-20 16:53:04,NINGUNA
101343,1002,BUS-TEC-02,6.00,2026-03-20 18:07:08,TEC DE MONTERREY
100970,1001,BUS-BUAP-02,5.00,2026-03-20 18:31:42,BUAP
100033,1002,BUS-TEC-02,6.00,2026-03-20 19:05:34,TEC DE MONTERREY
100190,1002,BUS-TEC-02,6.00,2026-03-20 19:11:33,TEC DE MONTERREY
100693,1004,BUS-TEC-01,10.00,2026-03-20 19:55:18,NINGUNA
101071,1003,BUS-IPN-02,5.50,2026-03-20 21:08:40,IPN
101319,1004,BUS-BUAP-02,10.00,2026-03-21 07:03:35,NINGUNA
100899,1002,BUS-TEC-02,6.00,2026-03-21 07:32:15,TEC DE MONTERREY
100103,1001,BUS-BUAP-02,5.00,2026-03-21 07:50:31,BUAP
101182,1001,BUS-BUAP-02,5.00,2026-03-21 08:41:31,BUAP
100791,1001,BUS-BUAP-01,5.00,2026-03-21 08:41:40,BUAP
101014,1002,BUS-TEC-02,6.00,2026-03-21 13:07:50,TEC DE MONTERREY
100935,1004,BUS-BUAP-02,10.00,2026-03-21 13:30:05,NINGUNA
100656,1003,BUS-IPN-02,5.50,2026-03-21 13:57:57,IPN
101145,1004,BUS-TEC-02,10.00,2026-03-21 14:33:31,NINGUNA
100309,1001,BUS-BUAP-01,5.00,2026-03-21 14:43:44,BUAP
100624,1003,BUS-IPN-02,5.50,2026-03-21 14:56:30,IPN
101251,1002,BUS-TEC-01,6.00,2026-03-21 18:06:10,TEC DE MONTERREY
100174,1004,BUS-TEC-02,10.00,2026-03-21 18:17:30,NINGUNA
101352,1002,BUS-TEC-01,6.00,2026-03-21 19:01:19,TEC DE MONTERREY
100615,1001,BUS-BUAP-01,5.00,2026-03-21 19:52:26,BUAP
100768,1003,BUS-IPN-01,5.50,2026-03-21 19:58:36,IPN
100416,1003,BUS-IPN-01,5.50,2026-03-22 08:00:51,IPN
100170,1001,BUS-BUAP-01,5.00,2026-03-22 08:02:32,BUAP
101231,1001,BUS-BUAP-01,5.00,2026-03-22 08:06:21,BUAP
100352,1002,BUS-TEC-01,6.00,2026-03-22 08:06:26,TEC DE MONTERREY
101081,1001,BUS-BUAP-01,5.00,2026-03-22 08:06:32,BUAP
101117,1003,BUS-IPN-02,5.50,2026-03-22 08:10:01,IPN
101075,1004,BUS-IPN-01,10.00,2026-03-22 08:22:35,NINGUNA
100115,1003,BUS-IPN-01,5.50,2026-03-22 08:38:55,IPN
101312,1003,BUS-IPN-02,5.50,2026-03-22 08:41:52,IPN
100349,1002,BUS-TEC-02,6.00,2026-03-22 08:59:58,TEC DE MONTERREY
101141,1003,BUS-IPN-01,5.50,2026-03-22 11:21:21,IPN
101394,1002,BUS-TEC-01,6.00,2026-03-22 13:03:36,TEC DE MONTERREY
100252,1004,BUS-BUAP-01,10.00,2026-03-22 13:13:17,NINGUNA
100529,1002,BUS-TEC-02,6.00,2026-03-22 13:18:11,TEC DE MONTERREY
101398,1002,BUS-TEC-02,6.00,2026-03-22 13:28:01,TEC DE MONTERREY
100125,1003,BUS-IPN-01,5.50,2026-03-22 13:51:01,IPN
100504,1002,BUS-TEC-02,6.00,2026-03-22 13:57:01,TEC DE MONTERREY
100204,1002,BUS-TEC-01,6.00,2026-03-22 14:05:17,TEC DE MONTERREY
100731,1004,BUS-IPN-02,10.00,2026-03-22 14:45:45,NINGUNA
100256,1003,BUS-IPN-01,5.50,2026-03-22 14:52:52,IPN
101361,1004,BUS-BUAP-02,10.00,2026-03-22 15:23:09,NINGUNA
100750,1002,BUS-TEC-01,6.00,2026-03-22 15:51:58,TEC DE MONTERREY
101473,1003,BUS-IPN-02,5.50,2026-03-22 18:28:58,IPN
100396,1001,BUS-BUAP-02,5.00,2026-03-22 18:52:41,BUAP
100130,1002,BUS-TEC-02,6.00,2026-03-22 19:19:29,TEC DE MONTERREY
